province,region,hashtag_query,video_id,title,channel_title,published_at,views,likes,comments,url
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,tjBrcHP5VI0,Bị cáo Hoàng Thị Thúy Lan và các cựu lãnh đạo tỉnh Vĩnh Phúc được đề nghị giảm án,Báo Sài Gòn Giải Phóng ,2025-12-16T07:50:10Z,207,1,0,https://www.youtube.com/watch?v=tjBrcHP5VI0
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,pnqiNHwmCI0,Vì sao cựu bí thư Vĩnh Phúc và nhiều cấp dưới được đề nghị giảm án? | ANTV,ANTV - Truyền hình Công an Nhân dân,2025-12-16T08:57:30Z,2188,7,0,https://www.youtube.com/watch?v=pnqiNHwmCI0
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,QLC812YYc0k,Cựu Bí thư Tỉnh ủy Vĩnh Phúc khai gì tại phiên tòa phúc thẩm?,BẢO HIỂM PJICO,2025-12-15T10:45:58Z,1676,10,0,https://www.youtube.com/watch?v=QLC812YYc0k
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,aNqGsjbVOCA,Bị cáo Hoàng Thị Thúy Lan và các cựu lãnh đạo tỉnh Vĩnh Phúc được đề nghị giảm án,Báo Sài Gòn Giải Phóng ,2025-12-16T09:30:00Z,1216,4,0,https://www.youtube.com/watch?v=aNqGsjbVOCA
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,X8HN4NbSowA,Xét xử phúc thẩm vụ án Tập đoàn Phúc Sơn: Dáng vẻ khác lạ của cựu Bí thư Tỉnh ủy Vĩnh Phúc cũ,Báo Tiền Phong News,2025-12-15T08:33:00Z,1473,0,0,https://www.youtube.com/watch?v=X8HN4NbSowA
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,w2hHwIKiFVM,Thi công chống sét hiện đại nhà cao 2 tầng ở Vĩnh Phúc #hungdiensach #tintuc #quattrandep #chongset,Hưng Điện Sạch,2025-12-15T12:35:12Z,665,7,0,https://www.youtube.com/watch?v=w2hHwIKiFVM
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,WVfJsTVBPi0,Nhà giáo 8x Huỳnh Vĩnh Phúc đạt chuẩn Giáo sư,Miền Tây THĐT2,2025-11-19T04:00:36Z,45,0,0,https://www.youtube.com/watch?v=WVfJsTVBPi0
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,zHmJ6w2-Nss,bán nhà cấp 4 đẹp tp Vĩnh Yên,Bất động sản Vĩnh Phúc ( Hồng Nhung ),2025-12-16T12:53:55Z,886,2,0,https://www.youtube.com/watch?v=zHmJ6w2-Nss
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,y5PR_TmVyBo,Bàn giao xe Toyota Vios màu trắng ngọc trai - Toyota Vĩnh Phúc : 0978495552  #toyotavinhphuc,Toyota Hiroshima Vĩnh Phúc - HT ,2025-12-16T04:00:59Z,1066,3,0,https://www.youtube.com/watch?v=y5PR_TmVyBo
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,XuTFgt87xc4,Em giao kia moning vĩnh phúc . Em cảm ơn anh hải đã ủng hộ em 0913501229 ,Thành Đạt xe tốt Quảng Ninh,2025-12-16T11:57:14Z,469,24,8,https://www.youtube.com/watch?v=XuTFgt87xc4
