name;province;province_normalized
Khu Du lịch sinh thái Hoàng Hảo;Vĩnh Long;Vĩnh Long
Karaoke 5 Sao;Quảng Trị;Quảng Trị
Karaoke Pro;Quảng Trị;Quảng Trị
Lotte Cinema Vincom Đồng Hới;Quảng Trị;Quảng Trị
Minh Coffee;Quảng Trị;Quảng Trị
The Ayatt Coffee;Quảng Trị;Quảng Trị
Tree House Cafe & Restaurant;Quảng Trị;Quảng Trị
Sông Chày Hang Tối;Quảng Trị;Quảng Trị
Công viên Tuần Châu Hạ Long;Quảng Ninh;Quảng Ninh
CAM Café;Quảng Ninh;Quảng Ninh
Công viên Hoa và công viên Lán Bè;Quảng Ninh;Quảng Ninh
VRC;Nghệ An;Nghệ An
Cà Phê;Nghệ An;Nghệ An
VinWonders Cửa Hội;Nghệ An;Nghệ An
Quảng trường Hòa Bình;Ninh Bình;Ninh Bình
Lotte Cinema Nam Định;Ninh Bình;Ninh Bình
Hồ Vị Xuyên;Ninh Bình;Ninh Bình
Công viên Nguyễn Khuyến;Ninh Bình;Ninh Bình
Rạp chiếu phim Ninh Bình;Ninh Bình;Ninh Bình
SKY18 Coffee và Trà;Ninh Bình;Ninh Bình
Cà Phê LOGI;Ninh Bình;Ninh Bình
Cà Phê và bánh Cham Cham;Ninh Bình;Ninh Bình
Cà Phê Monolic;Ninh Bình;Ninh Bình
Công viên Văn Lang;Phú Thọ;Phú Thọ
Cà Phê Văn Lang;Phú Thọ;Phú Thọ
Trung tâm mua sắm Vincom Plaza;Phú Thọ;Phú Thọ
Đảo Ngọc Xanh;Phú Thọ;Phú Thọ
Bảo tàng Hùng Vương;Phú Thọ;Phú Thọ
Villa Coffee House;Phú Thọ;Phú Thọ
Vincom Plaza Điện Biên Phủ;Điện Biên;Điện Biên
Khu vui chơi trẻ em Funny Kids;Điện Biên;Điện Biên
Khu vui chơi trẻ em Kidcity Siêu thị Tâm Đỏ;Điện Biên;Điện Biên
Khu vui chơi trẻ em siêu thị Hoa Ba;Điện Biên;Điện Biên
